OBJECTID,NAME,state,coyote_year,coyote_year_recl,coyote_James,dif_betw_James_agencies,xcoord,ycoord,yr.since.coy.1980,yr.since.coy.1985,yr.since.coy.1990,yr.since.coy.1995,yr.since.coy.2000,yr.since.coy.2005,yr.since.coy.2010,yr.since.coy.2014,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2014,pop.growth.2005.2010,WHITE,BLACK,MED_AGE,Area_sqkm,Pop.dens.2010,BIO5_median,BIO6_median,BIO7_median,BIO12_median,BIO15_median,BIO17_median,altitude,snow_mean,OPEN_WATER.1992,LOW_INTENS.1992,high.developed.1992,DECIDUOUS_.1992,EVERGREEN.1992,MIXED_FORE.1992,SHRUBLAND.1992,grass.pastures.1992,ROW_CROPS.1992,WOODY_WETL.1992,HERBACEOUS_WETL.1992,water.2001,devel.21.22.2001,devel.23.24.2001,decidious.f.2001,evergreen.2001,mixed.f.2001,shrub.2001,grass.pastures.2001,crops.2001,woody.wetlands.2001,herbaceous.wetlands.2001,water.2006,devel.21.22.2006,devel.23.24.2006,decidious.f.2006,evergreen.2006,mixed.f.2006,shrub.2006,grass.pastures.2006,crop.2006,woody.wetlands.2006,herbaceous.wetlands.2006,tree.canopy_mean.2011,water.2011,decidious.f.2011,evergreen.2011,mixed.f.2011,shrub.2011,grass.pasture.2011,crops.2011,woody.wetl.2011,herbaceous.wetlands.2011,devel.21.22.2011,devel.23.24.2011,NPPmedian,NPPstdev,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
363,Dade-Miami,Florida,NA,NA,1990,NA,-81.81,27.18,NA,NA,NA,NA,NA,NA,NA,NA,1625509,1776908,1937194,2086286,2259508,2385872,2496435,2662874,1.005825886,1841887,472976,38.1,5213.67,478.825,323,134,189,1405,60,136,5.83,0,7.82,6.83,8.29,0,1.59,0,0.04,10.42,5.16,13.64,42.26,4.42,12.24,5.65,0.05,0.44,0.04,0.63,0.5,5.36,12.1,57.77,4.416,12.245,5.647,0.053,0.444,0.04,0.634,0.501,5.361,12.103,57.771,11.23,4.576,0.053,0.448,0.039,0.609,0.47,4.907,11.242,57.729,12.204,6.724,1148,99.34014073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,105,0,74,0,0,1159,514,831,607,,
364,Monroe,Florida,NA,NA,1990,NA,-80.99,25.49,NA,NA,NA,NA,NA,NA,NA,NA,63188,70522,78024,81461,79470,75819,73090,77136,0.992695337,65409,4194,46.4,2257.23,32.38,324,129,196,1295,64,124,4.58,0,12.52,0.17,0.3,0,0.08,0,0.46,8.9,0,48.63,27.83,8.26,0.64,0.19,0,0.15,0,0.04,0.04,0,52.2,37.66,8.265,0.636,0.193,0.002,0.149,0.002,0.039,0.037,0,52.196,37.664,40.134,8.344,0.002,0.159,0.002,0.043,0.038,0,51.977,37.769,0.614,0.222,1255.333252,234.7750495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0,112,0,0,0,74,37,11,31,,
1852,Kings,New York,NA,NA,1940,NA,-73.95,40.65,NA,NA,NA,NA,NA,NA,NA,NA,2231028,2304368,2300664,2372611,2467006,2445809,2508340,2621793,1.005061814,1072041,860083,34.2,154.76,16183.996,288,-40,327,1131,10,255,13.67,14.48,3.13,4.77,82.6,3.85,0.05,2.94,0,0.28,0,0,0.37,2.39,9.92,83.92,0.75,0.11,0.03,0.97,0.78,0,0.07,0.94,2.39,9.923,83.92,0.747,0.108,0.032,0.971,0.78,0,0.068,0.941,3.59,2.429,0.604,0.091,0.026,0.922,0.714,0,0.081,0.984,8.697,85.292,1161.666626,682.0567715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
1858,Nassau,New York,NA,NA,1940,NA,-73.59,40.75,NA,NA,NA,NA,NA,NA,NA,NA,1321582,1314652,1287873,1312950,1336713,1332318,1341245,1358627,1.001336493,977577,149049,41.1,707.07,1894.475,283,-43,325,1108,9,256,32.31,22.39,5.51,54.72,18.2,1.98,4.17,7.01,0,0.22,0,0.26,1.04,5.07,40.14,40.69,7.2,0.77,3.23,0.2,0.33,0.09,0.67,1.45,5.068,40.142,40.689,7.203,0.769,3.228,0.203,0.329,0.093,0.666,1.446,22.936,5.065,6.931,0.725,3.027,0.194,0.317,0.093,0.661,1.412,39.774,41.652,1135,677.2926006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
1869,Queens,New York,NA,NA,1970,NA,-73.82,40.71,NA,NA,NA,NA,NA,NA,NA,NA,1891325,1949579,1951598,2074581,2230501,2185222,2233841,2321580,1.004410719,886053,426683,37.2,272.59,8183.433,285,-40,325,1100,10,249,16.36,16.46,7.98,15.89,65.82,3.77,0.07,3.29,0,0.22,0,0.02,0.43,7.21,15.47,73.72,1.28,0.11,0.06,0.1,0.07,0.07,0.29,1.34,7.208,15.466,73.722,1.283,0.105,0.063,0.101,0.072,0.073,0.292,1.338,6.428,7.199,1.272,0.105,0.063,0.091,0.072,0.073,0.262,1.272,14.382,74.914,1161.666626,135.120324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
1871,Richmond,New York,NA,NA,1940,NA,-74.15,40.58,NA,NA,NA,NA,NA,NA,NA,NA,352029,367927,378977,409600,445235,457028,469363,473279,1.00534057,341677,49857,38.3,124.72,3758.258,294,-51,345,1180,10,263,25.58,16.89,4.69,30.01,33.22,14.25,0.09,6.53,0,1.31,0,5.75,2.21,4.16,27.66,44.77,11.73,0.01,0.15,1.17,1.83,0.15,3.33,3.7,4.164,27.656,44.771,11.728,0.013,0.145,1.173,1.83,0.148,3.33,3.697,22.67,4.086,11.144,0.013,0.144,1.142,1.808,0.115,3.239,3.468,26.311,46.939,1221.5,1137.220873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
1880,Suffolk,New York,NA,NA,1950,NA,-72.84,40.87,NA,NA,NA,NA,NA,NA,NA,NA,1284231,1306894,1321339,1361391,1424081,1477687,1494434,1502968,1.002256444,1206297,111224,39.8,2498.48,597.703,276,-51,326,1151,9,265,25.83,23.06,13.78,34.99,8.98,6.27,7.32,14.36,0,4.4,3.81,0.89,0.9,12.74,38.21,12.01,12.97,6.94,2.1,0.97,3.8,3.89,1.42,3.01,12.744,38.212,12.009,12.965,6.941,2.099,0.968,3.803,3.89,1.415,3.011,32.414,12.729,12.5,6.577,1.961,0.964,3.557,3.693,1.414,2.996,38.365,13.328,1245,367.9251647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,79,101,65,53,64,47,32,79,65,72,69,112,86,98,93,107,127,144,163,167,154,181,275,361,400,422,453,575,507,554,638,745,786,691,759,650,614,850,781,805,823,958,983,985,983,1175,1205,
2051,Brown,Ohio,NA,NA,1940,NA,-83.87,38.93,NA,NA,NA,NA,NA,NA,NA,NA,31920,32666,34966,38746,42566,44161,44857,44116,1.003132417,43736,384,39.9,1288.99,34.792,293,-70,364,1105,17,228,274.32,21.95,2.02,0.99,0.26,28.89,0.38,0.25,0,36.17,29.38,0.11,0.09,1.98,5.79,0.46,35.07,0.3,0.69,0.27,19.46,34.51,0.01,0.04,1.984,5.791,0.464,35.072,0.304,0.694,0.27,19.459,34.506,0.006,0.039,30.427,2.009,34.791,0.29,0.693,0.256,19.685,34.308,0.006,0.045,5.873,0.548,885.666687,100.1396206,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,188,253,232,261,329,391,456,446,516,497,559,571,724,710,620,558,525,710,848,912,1102,1094,1232,1249,1301,1306,1223,1239,1223,1132,1161,919,989,1093,
2056,Clermont,Ohio,NA,NA,1940,NA,-84.15,39.04,NA,NA,NA,NA,NA,NA,NA,NA,128483,137393,150094,165351,177960,189486,197604,201560,1.008425271,189250,2284,38.3,1222.45,161.449,296,-71,367,1088,16,223,252.9,19.06,2.57,4.88,1.28,40,1.63,0.47,0,26.52,20.27,0.2,0.2,2.55,12.36,1.66,46.49,1.27,0.47,0.54,14.62,18.31,0.08,0.13,2.549,12.357,1.662,46.494,1.266,0.475,0.537,14.624,18.313,0.083,0.128,40.733,2.583,45.993,1.256,0.474,0.54,14.536,18.118,0.084,0.131,12.839,1.889,910.333374,73.80888852,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,128,126,171,157,185,250,275,321,389,536,518,642,750,830,756,730,716,695,786,935,1152,1011,915,1145,1264,1300,1282,1324,1274,1242,1194,1044,1011,1071,
2084,Jefferson,Ohio,NA,NA,1950,NA,-80.76,40.38,NA,NA,NA,NA,NA,NA,NA,NA,91564,84980,80298,78630,73663,71251,69614,67694,0.995362157,64077,3879,43.8,1038.6,67.118,282,-81,364,990,18,197,336.85,27.72,1.76,3.12,1.31,54.78,4.46,4.17,0,23.04,5.89,0.01,0.29,0.91,10.03,1.19,65.38,0.57,0.01,0.04,13.9,7.23,0.04,0.01,0.905,10.029,1.186,65.375,0.571,0.006,0.044,13.901,7.23,0.042,0.011,54.916,0.862,64.332,0.566,0.006,0.047,14.318,7.147,0.041,0.018,9.979,1.399,1319,79.80737808,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,487,634,615,633,745,1011,1174,1115,1390,1438,1612,1612,1758,1727,1351,1269,1118,1488,1914,2159,2613,2291,2315,2147,2511,2257,2203,2208,1895,1627,1612,1333,1104,1277,
