OBJECTID,NAME,state,coyote_year_agencies,coyote_map,xcoord_centroid,ycoord_centroid,human.pop2010,area_sqkm,human.pop.dens.2010,BIO12_median,BIO15_median,BIO17_median,snow_mean,tree.canopy_mean.2011,mixed.f.2011,devel.21.22.2011,NPPmedian,NPPstdev,MIXED_FORE.1992,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,huntdays.2004,huntdays.2005,huntdays.2006,huntdays.2007,huntdays.2008,huntdays.2009,huntdays.2010,huntdays.2011,huntdays.2012,huntdays.2013,huntdays.2014,huntdays.2015
321,Alachua,Florida,1988,1980,-82.35,29.68,247336,2557.13,96.724,1322,42,191,0,53.435,1.435,8.641,1389,256.6089374,0,,,,,,,,,,,,,,,,,,,,,,,,,3029,4207,3913,5731,6589,7087,5720,7970,2638,1829,,,,,,,,,,108649,151909,63387,52518,
322,Baker,Florida,2000,1990,-82.28,30.33,27115,1553.16,17.458,1359,38,199,1.92,68.275,0.596,5.258,1857.333374,175.5406776,0,,,,,,,,,,,,,,,,,,,,,,,,,870,1192,783,1861,1682,715,1259,1135,899,970,,,,,,,,,,34153,30121,41038,30702,
323,Bay,Florida,1981,1980,-85.61,30.29,168852,1958.78,86.203,1559,28,293,2.13,63.364,0.352,11.056,1862.166748,363.9613351,2.94,,,,,,,,,,,,,,,,,,,,,,,,,2039,2208,3130,5359,3925,5917,528,4285,3899,1969,,,,,,,,,,13336,70823,60786,45504,
324,Bradford,Florida,1988,1980,-82.16,29.95,28520,760.13,37.52,1334,41,193,0.37,57.831,1.594,7.016,1586.333374,192.8787055,7.01,,,,,,,,,,,,,,,,,,,,,,,,,780,1087,1677,1265,561,585,1443,1227,1139,787,,,,,,,,,,28797,18890,15677,21021,
325,Brevard,Florida,1997,1990,-80.75,28.26,543376,2651.99,204.894,1257,42,174,0,28.828,0.209,18.41,1472.666626,253.9897266,3.29,,,,,,,,,,,,,,,,,,,,,,,,,810,1192,1342,1861,841,2081,4309,1966,2100,906,,,,,,,,,,113816,23030,53450,22908,
326,Broward,Florida,1988,1990,-80.49,26.15,1748066,3136.59,557.314,1470,52,165,0,7.97,0.001,18.531,1117.833252,159.4552069,6.53,,,,,,,,,,,,,,,,,,,,,,,,,NA,35,NA,149,70,130,256,85,28,89,,,,,,,,,,8183,2867,2269,4659,
327,Calhoun,Florida,1981,1980,-85.2,30.41,14625,1511.8,9.674,1523,26,277,1.94,68.494,0.328,4.662,1766,216.6669034,14.36,,,,,,,,,,,,,,,,,,,,,,,,,2099,1823,1565,5210,4135,3966,860,4747,2721,3127,,,,,,,,,,12196,76495,32219,51280,
328,Charlotte,Florida,NA,1990,-81.89,26.91,159978,1820.19,87.891,1281,61,142,0,22.669,0.063,17.916,1297.166748,79.1392821,0.25,,,,,,,,,,,,,,,,,,,,,,,,,210,245,NA,968,70,390,1388,1303,434,758,,,,,,,,,,31577,25403,10661,14895,
329,Citrus,Florida,1988,1980,-82.46,28.85,141236,1613.75,87.52,1362,47,188,0,42.333,0.151,23.787,1220.333374,199.2030756,0.47,,,,,,,,,,,,,,,,,,,,,,,,,960,6450,2907,893,1402,1365,2055,926,769,732,,,,,,,,,,67637,31867,25748,25335,
330,Clay,Florida,1988,1990,-81.85,29.99,190865,1705.71,111.898,1303,41,198,0.65,48.398,1.26,14.893,1829.333374,221.4151872,4.17,,,,,,,,,,,,,,,,,,,,,,,,,1290,2314,4248,2903,1262,260,2216,1429,1053,2053,,,,,,,,,,32095,35114,23616,43414,
331,Collier,Florida,1998,1990,-81.33,26.12,321520,5164.62,62.254,1334,66,129,0,39.52,0.18,7.463,1404.666748,193.6918568,0.78,,,,,,,,,,,,,,,,,,,,,,,,,750,736,447,1712,2173,2211,2882,1334,606,1371,,,,,,,,,,64811,35023,11591,24884,
332,Columbia,Florida,1981,1980,-82.62,30.22,67531,2056.32,32.841,1344,36,203,1.44,62.503,2.64,7.018,1666,388.1063027,3.65,,,,,,,,,,,,,,,,,,,,,,,,,1500,1928,1677,2754,1612,780,2057,4035,2481,1093,,,,,,,,,,41083,62864,50001,21699,
333,DeSoto,Florida,NA,1990,-81.81,27.18,34862,1679.13,20.762,1285,58,149,0,20.178,0.047,4.623,1148,99.34014073,1.92,,,,,,,,,,,,,,,,,,,,,,,,,540,315,2236,1042,771,975,1798,945,1242,933,,,,,,,,,,27580,8083,12741,16024,
334,Dixie,Florida,1981,1980,-83.15,29.62,16422,1854.8,8.854,972,43,158,0,70.922,0.455,5.601,1834,274.8816439,4.1,,,,,,,,,,,,,,,,,,,,,,,,,1739,2103,3354,2679,3645,5007,3950,2071,1729,2153,,,,,,,,,,102599,78427,27424,51792,
335,Duval,Florida,2000,1990,-81.69,30.33,864263,2027.88,426.19,1275,39,196,1.59,42.715,0.947,28.987,1795.333374,270.3090657,1.24,,,,,,,,,,,,,,,,,,,,,,,,,150,280,2683,1861,1121,260,422,1170,1227,430,,,,,,,,,,10112,20749,12950,18442,
336,Escambia,Florida,1981,1980,-87.37,30.71,297619,1779.34,167.264,1598,19,315,1.7,50.376,1.402,16.914,1506.833252,157.8115825,0.42,,,,,,,,,,,,,,,,,,,,,,,,,5098,3260,5478,7071,6238,7998,1597,1761,1932,1800,,,,,,,,,,21640,30910,30964,40229,
337,Flagler,Florida,1988,1990,-81.31,29.46,95696,1280.87,74.712,1296,39,202,0,45.736,0.139,11.861,1845.333374,205.4647264,0.07,,,,,,,,,,,,,,,,,,,,,,,,,2159,2559,1230,1265,2173,520,760,1688,430,804,,,,,,,,,,12911,18912,20040,25302,
338,Franklin,Florida,1988,1980,-84.8,29.89,11549,1384.95,8.339,1500,34,268,0.11,70.925,0.291,4.64,1954.5,194.7143136,3.62,,,,,,,,,,,,,,,,,,,,,,,,,240,666,112,521,491,1951,667,354,495,706,,,,,,,,,,6878,20349,17604,23996,
339,Gadsden,Florida,1981,1970,-84.61,30.59,46389,1372.13,33.808,1461,24,262,1.49,67.888,4.533,5.857,1700.666626,169.763995,7.21,,,,,,,,,,,,,,,,,,,,,,,,,3179,3260,10621,8857,4416,8843,4782,3173,2063,1722,,,,,,,,,,73664,61816,27631,24251,
340,Gilchrist,Florida,1988,1980,-82.8,29.73,16939,908.56,18.644,1158,42,173,0,44.631,0.786,4.951,1257,49.91813987,11.78,,,,,,,,,,,,,,,,,,,,,,,,,660,386,447,1116,1963,1626,1772,1283,1167,657,,,,,,,,,,33945,41643,17983,13012,
341,Glades,Florida,2000,1990,-81.18,26.96,12884,2596.81,4.961,1194,57,137,0,18.987,0.038,2.166,1320.333374,404.4149076,9.92,,,,,,,,,,,,,,,,,,,,,,,,,720,491,1006,1265,631,1626,1004,866,220,508,,,,,,,,,,22762,14388,7656,15792,
342,Gulf,Florida,1981,1980,-85.22,29.96,15863,1506.59,10.529,1542,34,286,1,75.473,0.008,2.337,1948.166626,145.1562262,6.83,,,,,,,,,,,,,,,,,,,,,,,,,600,1017,447,968,771,2146,202,1100,1347,1264,,,,,,,,,,4579,17107,34815,31688,
